S,K,r,t,vol,Value
1375.6899,1093.4,0.0188,0.0438,0.2039,283.1899
1511.79,1197.45,0.0137,0.8521,0.1655,332.9502
1056.64,1811.67,0.0243,0.5726,0.2009,0.014
1000.89,1907.03,0.0272,0.9068,0.2057,0.056
1782.24,1932.4301,0.0146,0.5288,0.2124,58.6268
1418.2,1072.1899,0.0263,0.4247,0.1901,358.3781
1888.0699,1939.02,0.0176,0.8959,0.1866,123.5255
1920.84,1922.01,0.0176,0.2603,0.1935,78.6898
1686.12,1431.4301,0.0248,0.1534,0.2042,260.8073
1511.65,1160.41,0.0215,0.9041,0.1585,375.8525
1739.64,1450.99,0.025,0.6904,0.193,326.4726
1327.85,1331.78,0.0214,0.0356,0.1957,15.2686
1251.34,1144.91,0.0191,0.463,0.187,135.6225
1183.45,1948.5,0.0234,1.4548,0.1943,3.0782
1158.63,1551.96,0.0194,0.074,0.1743,0
1834.42,1786.3,0.0272,0.7753,0.1611,149.5753
1779.59,1040.45,0.0169,0.2438,0.2264,743.4181
1685.24,1503.91,0.0155,0.7781,0.2079,241.6612
1103.49,1679.76,0.0213,1.126,0.2037,3.8006
1905.5699,1493.15,0.0207,0.1014,0.2049,415.5521
1069.64,1576.85,0.0162,0.1699,0.1804,0
1175.89,1615.75,0.0183,1.3068,0.2188,19.9969
1428.17,1958.71,0.0238,0.7233,0.1827,2.6662
1530.73,1233.15,0.026,0.8575,0.1559,328.7847
1026.7,1532.26,0.0235,0.3479,0.1839,0
1018.38,1685.46,0.0255,0.2603,0.2269,0
1616.47,1402.79,0.0267,0.274,0.1506,225.068
1145.65,1125.99,0.0182,0.1123,0.2033,42.2634
1521.8,1582.27,0.0231,1.2329,0.1828,115.7647
1326.66,1367.4,0.0114,0.6137,0.1847,62.7697
1766.5,1868.74,0.021,0.8219,0.1435,62.4332
1804.21,1145.87,0.0149,1.0356,0.1936,676.6883
1501.1801,1628.0601,0.0162,0.4192,0.1686,24.8609
1762.55,1959.47,0.0171,1.4,0.1692,83.2448
1824.97,1759.22,0.023,0.0219,0.2042,68.0984
1600.35,1387.0601,0.0179,1.1671,0.177,272.4737
1345.62,1874.53,0.0205,0.2959,0.2125,0.1185
1582.5601,1543.78,0.0184,0.4137,0.1536,89.532
1071.59,1475.9,0.0191,1.4767,0.1913,14.303
1339.91,1079.62,0.0156,0.5425,0.1552,270.6535
1479.88,1658.42,0.0196,1.0986,0.1502,41.9731
1934.83,1877.21,0.0215,0.2767,0.1793,110.1911
1853.48,1622.6,0.0199,0.4932,0.1884,262.873
1462.53,1354.96,0.0242,1.2,0.1773,196.0238
1232.02,1026.4,0.0222,0.3068,0.2158,215.7014
1405.97,1032.09,0.0208,1.3863,0.1777,408.7404
1569.5,1958.41,0.0147,0.1562,0.1638,0
1213.52,1761.47,0.0202,1.0712,0.1375,0.4565
1942.8,1063.27,0.0216,1.4521,0.1767,912.4844
1817.95,1786.8101,0.0253,1.2356,0.1422,160.0147
1904.65,1100.8199,0.0255,0.8137,0.1799,826.4492
1065.7,1530.1801,0.022,0.2329,0.1714,0
1325.04,1970.01,0.025,0.7671,0.1673,0.367
1274.9399,1766.42,0.0156,0.1096,0.15,0
1314.4399,1978.86,0.0121,0.4384,0.1521,0
1391.33,1590.34,0.0117,0.0329,0.153,0
1073.02,1891.9301,0.013,1.2301,0.1741,0.172
1460.23,1333.29,0.021,1.1534,0.1337,182.5035
1759.25,1036.1899,0.0158,1.3425,0.2087,746.0636
1383.97,1335.09,0.0171,1.1178,0.1919,149.875
1721.84,1496.84,0.0189,1.4795,0.1696,304.336
1183.1,1227.72,0.0157,0.3151,0.2038,37.4678
1688.73,1184.24,0.0241,0.7836,0.2001,528.1958
1230.3,1137.03,0.0236,0.2932,0.1797,112.6104
1756.79,1303.1,0.0279,0.1041,0.1967,457.4693
1175.65,1958.5601,0.0266,0.6767,0.17,0.0109
1276.15,1505.35,0.025,1.4384,0.158,37.7726
1532.09,1613.92,0.0158,1.2986,0.1872,109.1009
1972.73,1757.8,0.0169,0.3068,0.2033,238.9796
1139.74,1943.83,0.0194,0.1315,0.2134,0
1902.8101,1705.89,0.0213,1.2575,0.155,280.1694
1977.98,1644.22,0.0199,0.4301,0.2112,356.8406
1083.46,1064.84,0.0135,1.4356,0.1767,110.53
1043.8,1401.38,0.0158,0.474,0.2081,1.4309
1892.37,1319.35,0.0254,0.1918,0.1639,579.4319
1265.42,1132.78,0.015,1.0521,0.1713,179.1356
1581.11,1763.12,0.0254,1.4137,0.1776,86.0581
1669.76,1989.46,0.0205,0.3288,0.1934,5.4273
1495.27,1659.53,0.0128,1.2959,0.1671,62.3012
1272.54,1526.45,0.0155,1.4822,0.2068,55.2954
1845.5,1054.6,0.02,1.011,0.1747,812.0406
1409.89,1197.39,0.0178,0.4877,0.1455,225.2459
1123.05,1523.59,0.0174,0.1973,0.2159,0.0233
1479.98,1079.67,0.0223,1.2438,0.1737,433.5296
1503.53,1882.4399,0.0237,1.0192,0.1792,20.2225
1313.6801,1486.1801,0.0187,0.5863,0.1493,13.554
1832.8,1645.26,0.0154,0.4548,0.1898,221.1974
1642.8101,1870.15,0.0256,0.2,0.1914,4.1202
1038.53,1759.1801,0.0209,1.2932,0.1792,0.6232
1384.75,1179.12,0.0176,0.6904,0.1705,229.508
1061.45,1897.86,0.0198,0.7836,0.1563,0
1712.37,1564.4399,0.0259,1.0685,0.1897,243.7161
1649.67,1344.77,0.0142,0.1507,0.2235,308.1239
1127.67,1102.45,0.0193,0.2247,0.1771,53.6156
1610.22,1247.54,0.0244,0.6548,0.1797,384.9012
1008.2,1933.62,0.0164,0.2959,0.2056,0
1361.28,1774.78,0.0227,0.1808,0.2068,0.0355
1344.86,1975.96,0.0157,0.3178,0.2117,0.036
1878.95,1456.3199,0.019,0.274,0.1809,430.3226
1639.85,1118.85,0.0145,0.3178,0.1801,526.146
1382.3,1738.47,0.0225,0.8877,0.2036,20.4974
1183.49,1553.61,0.023,0.4658,0.1633,0.4532
1350.49,1535.24,0.013,0.9342,0.1965,44.9114
1178.79,1647.04,0.0143,1.1918,0.2054,10.9202
1715.6,1306.97,0.0251,0.7452,0.2025,438.0012
1432.3101,1514.17,0.0182,0.1342,0.1887,12.037
1325.0699,1947.51,0.0201,1.2356,0.1883,5.736
1580.28,1196.49,0.0277,0.1096,0.2214,387.4178
1017.36,1511.3199,0.0175,1.1096,0.1909,2.9257
1068.55,1101.86,0.0263,0.6767,0.1852,58.4986
1904.67,1561.58,0.0225,1.2,0.2028,415.1214
1355.25,1112.46,0.0167,0.2685,0.2127,249.4896
1706.46,1670.6801,0.0209,1.4959,0.1892,200.5206
1054.8101,1516.91,0.017,0.1781,0.1616,0
1227.4399,1354.3199,0.0158,0.726,0.1804,35.0684
1992.16,1672.86,0.0154,0.6493,0.1556,343.0033
1323.87,1470.42,0.0209,1.2575,0.185,67.6724
1385.88,1056.28,0.0114,0.6274,0.1607,337.8957
1951.98,1864.14,0.0226,1.4712,0.1647,235.1608
1628.9,1103.8101,0.0115,1.1233,0.1648,540.1018
1141.99,1790.24,0.026,0.1178,0.1679,0
1385.6899,1004.2,0.0193,0.5096,0.1809,391.5567
1991.8199,1394.0601,0.0174,0.0466,0.2122,598.8898
1974.62,1345.3101,0.0184,0.4822,0.1905,641.2827
1024.02,1282.29,0.0177,0.5781,0.1634,2.3908
1254.13,1272.83,0.0159,1.2356,0.1982,112.7821
1499.73,1964.9,0.0208,1.1397,0.2012,22.6552
1481.66,1566.88,0.017,0.811,0.1649,61.2574
1533.4,1699.33,0.0194,0.2219,0.2178,14.3601
1863.9301,1792.91,0.0183,0.4658,0.188,142.2782
1102.11,1018.37,0.0239,0.9863,0.1418,127.5037
1767.39,1433.1,0.0179,0.2384,0.1994,341.1093
1293.1,1972.8101,0.0261,0.8658,0.182,0.8141
1807.5699,1654.35,0.0231,0.811,0.147,210.6105
1383.37,1870.21,0.0228,1.2137,0.1345,2.9546
1286.09,1119.35,0.0226,1.0932,0.1815,218.1936
1595.05,1041.03,0.0133,0.1041,0.1963,555.4604
1694.11,1996.84,0.0226,0.8986,0.1649,27.3964
1620.3101,1913.3,0.0228,0.5808,0.1803,15.9083
1250.85,1077.33,0.0159,0.3836,0.2213,190.1466
1259.51,1427.23,0.0172,1.2219,0.1746,47.5152
1696.11,1650.53,0.0221,0.3205,0.1967,105.5198
1766.47,1570.8,0.0127,0.5671,0.1898,231.9414
1805.39,1550.77,0.0178,0.2,0.1989,262.4015
1744.4301,1567.77,0.023,0.9863,0.1888,256.2325
1346.45,1526.62,0.0164,0.4438,0.1841,15.4613
1686.5601,1999.26,0.0194,0.8575,0.1923,34.8214
1445.99,1840.99,0.015,0.4658,0.1608,1.0189
1504.8101,1890.1801,0.0154,0.3096,0.1533,0.1808
1585.27,1757.97,0.0173,1.1233,0.1777,66.7971
1640.74,1541.76,0.0223,1.1918,0.1456,184.2889
1693.35,1322.5699,0.0231,1.0685,0.167,409.3013
1602.13,1641.37,0.027,0.2767,0.159,39.99
1056.79,1589.77,0.0198,0.7562,0.1588,0.1137
1019.12,1931.03,0.0174,0.5863,0.1951,0
1014.45,1208.95,0.0183,1.3726,0.188,35.3022
1563.66,1465.67,0.0282,0.0849,0.1581,102.9121
1656.22,1020.12,0.0291,1.2329,0.211,673.4128
1326,1242.5601,0.0118,1.4438,0.1834,171.5623
1994.42,1068.05,0.0194,0.0986,0.2014,928.4111
1491.89,1733.02,0.0267,1.3068,0.1984,69.832
1326.6,1190.6801,0.0181,1.2603,0.1927,207.574
1414.38,1597.76,0.0184,0.5233,0.1593,14.9331
1758.45,1087.9399,0.0196,0.0795,0.1389,672.2039
1423.86,1617.0601,0.0163,0.5699,0.1574,15.0673
1105.71,1527.3101,0.0233,0.5562,0.1583,0.1962
1970.2,1617.05,0.0196,1.3014,0.1878,422.8063
1643.64,1092.39,0.0284,1.3973,0.1832,595.7216
1940.5699,1923.29,0.0168,0.5863,0.1769,122.7358
1422.95,1630.63,0.0226,1.411,0.1804,64.5543
1246.85,1623,0.0223,1.1781,0.2088,24.0892
1120.88,1306.5699,0.0234,0.8932,0.2148,37.5262
1026.3199,1667.13,0.0232,0.5808,0.1974,0.0445
1646.17,1916.74,0.0214,0.1479,0.2217,2.0771
1049.42,1593.45,0.0219,0.1041,0.1967,0
1966.71,1872.63,0.0124,1.0384,0.1591,191.122
1178.14,1402.11,0.0251,0.5616,0.1925,12.2738
1878.58,1007.76,0.02,1.4301,0.1569,899.2519
1969.16,1864.66,0.0269,0.5425,0.1702,174.5883
1685.23,1115.33,0.0248,1.2082,0.183,604.1389
1765.09,1297.99,0.016,1.4986,0.1529,502.1207
1005.61,1872.51,0.0203,1.4658,0.1942,0.5957
1867.84,1584.37,0.0233,0.3178,0.2011,300.4189
1179.9301,1557.7,0.0241,1.3014,0.1917,18.8863
1637.71,1968.8199,0.0226,1.3534,0.1712,44.338
1991.8101,1717.09,0.0227,0.0685,0.1478,277.3883
1612.09,1915.01,0.0185,0.8548,0.1737,24.4545
1675.62,1686.6,0.0194,1.2575,0.176,145.8777
1987.34,1051.14,0.0245,0.5041,0.1762,949.1022
1427.6899,1625.5601,0.0229,1.1123,0.1593,41.1026
1057.8,1986.77,0.0264,0.7671,0.1948,0.0104
1890.24,1468.4,0.0171,0.9288,0.1588,449.0203
1455.51,1532.09,0.0133,0.0164,0.2173,0
1326.62,1950.51,0.0188,1.3452,0.1695,4.0831
1284.51,1600.73,0.0212,0.3425,0.2023,2.3196
1456.79,1614.59,0.0235,0.3534,0.1922,19.4945
1493.35,1827.48,0.0219,0.3288,0.1984,3.159
1171.6801,1453.73,0.0175,0.589,0.191,6.9125
1079.74,1682,0.022,0.3945,0.1752,0
1595.1899,1597.41,0.0156,0.3753,0.2042,82.7442
1970.9,1609.99,0.0143,0.2767,0.163,367.6557
1212.59,1196.8,0.0219,0.3096,0.179,60.0479
1673.4301,1482.84,0.0172,1.4822,0.1923,286.5431
1034.12,1415.4399,0.014,0.6521,0.1957,1.9428
1036.55,1387.24,0.0144,1.0137,0.1781,5.6411
1012.49,1181.73,0.018,1.0493,0.2041,35.1519
1722.25,1535.79,0.019,0.5151,0.1924,223.6738
1182.96,1109.28,0.0242,1.0521,0.1872,146.6349
1226.36,1829.96,0.026,1.2986,0.1688,3.0649
1244.9301,1741.59,0.0213,0.274,0.1737,0
1544,1356.76,0.0172,1.2329,0.183,254.3702
1553.61,1027.12,0.0186,0.3918,0.1659,533.9486
1823.47,1850.0699,0.0214,0.6575,0.1525,89.3839
1740.65,1681.13,0.0241,1.0411,0.154,163.9972
1602.01,1898.22,0.0143,1.0548,0.15,22.0298
1432.38,1840.4301,0.0184,0.0877,0.1826,0
1467.48,1428.83,0.0217,1.4247,0.1733,162.9715
1784.5,1167.41,0.0219,0.0877,0.1918,619.33
1239.48,1752.27,0.0196,0.8055,0.1669,1.0474
1801.87,1309.51,0.0154,0.6466,0.1982,507.0583
1013.79,1194.97,0.0153,0.6575,0.1866,13.234
1662.3,1370.4,0.0109,0.2603,0.1866,296.801
1663.86,1103.78,0.0132,1.3123,0.1544,579.6438
1512.86,1799.17,0.024,0.0658,0.181,0
1643.01,1752.78,0.018,0.4247,0.1932,44.9655
1457.74,1853.65,0.0243,0.8603,0.2122,21.2678
1181.25,1433.53,0.0211,0.3945,0.1895,3.8477
1706.16,1544.33,0.0132,0.0767,0.1533,163.5541
1220.3101,1760.3,0.0218,0.4685,0.1738,0.0631
1099.23,1714.87,0.0193,0.3068,0.1387,0
1680.74,1971.3199,0.0188,0.7014,0.1653,18.6244
1484.48,1665.66,0.0179,0.7863,0.1885,43.579
1904.8,1757.38,0.0246,0.2493,0.1733,170.5162
1656.76,1476.58,0.0244,0.7315,0.1543,223.0158
1368.8199,1899.08,0.0265,1.4438,0.1997,20.8879
1834.33,1935.2,0.0214,0.1781,0.2077,28.0957
1008.93,1743.84,0.0195,1.3507,0.1854,0.7219
1888.83,1726.74,0.0158,0.9205,0.1874,243.0683
1753.73,1304.05,0.0227,1,0.1455,480.033
1797.9,1291.97,0.0171,0.0055,0.1769,506.0516
1107.8199,1507.5699,0.0142,1.2767,0.1866,10.4036
1039.26,1509.35,0.0143,0.1178,0.1782,0
1879.83,1881.83,0.0189,1.3836,0.1493,154.4001
1894.9,1107.62,0.0202,0.0356,0.2035,788.0763
1398.7,1702.7,0.0204,1.1151,0.1709,24.5011
1884.13,1465.1,0.0124,0.7452,0.1507,434.3039
1812.02,1389.5699,0.0142,1.1068,0.161,449.4762
1794.45,1202.02,0.0196,0.1918,0.1835,596.9402
1310.1899,1677.67,0.0229,0.0685,0.1841,0
1028.6,1721.98,0.0112,0.9507,0.1845,0.1775
1370.05,1849.05,0.0192,0.3918,0.1433,0.018
1236.97,1608.9301,0.0201,0.063,0.1484,0
1361.78,1053.39,0.0194,0.8822,0.158,328.4998
1453.79,1535.9,0.0269,1.074,0.1869,95.4733
1112.9399,1499.85,0.021,0.7863,0.1808,3.2423
1206.04,1091.6,0.0138,0.2767,0.1616,123.7471
1273.14,1051.36,0.0195,0.6137,0.145,236.1739
1313.72,1681.35,0.0181,1.4438,0.1645,19.1613
1573.35,1502.42,0.0168,0.6329,0.1397,119.7633
1350.3,1408.39,0.0225,1.2658,0.1657,91.9149
1323.48,1571.79,0.0146,1.3233,0.2024,50.9873
1982.09,1591.98,0.0226,0.5945,0.1453,412.6923
1741.9399,1391.25,0.0189,1.4219,0.1769,405.9018
1655.26,1328.4,0.019,0.8986,0.1796,358.6548
1961.01,1021.72,0.0264,0.0822,0.1767,941.5048
1349.22,1251.24,0.0138,1.3233,0.1503,161.7522
1801.76,1277.97,0.0188,1.0192,0.1498,548.6647
1365.25,1397.1,0.0294,1.4877,0.1945,141.8099
1662.21,1893.15,0.0172,0.4164,0.1381,5.8675
1368.92,1833.04,0.0184,0.6466,0.1655,1.3251
1112.6,1804.48,0.0217,0.7616,0.1749,0.0656
1155.27,1451.96,0.0248,0.663,0.1718,5.0195
1041.29,1091.1801,0.0188,0.0712,0.2146,6.4613
1855.33,1092.3,0.0225,1.1014,0.2142,790.4636
1445.4,1846.1,0.0208,0.9479,0.1879,15.5673
1552.83,1888.0601,0.0232,0.6493,0.1393,4.2941
1209.52,1012.11,0.0217,0.1945,0.1769,201.9152
1529.8101,1505.66,0.019,1.463,0.1781,163.6443
1466.6,1964.65,0.0215,1.1726,0.203,19.9386
1609.88,1673.72,0.0215,1.3808,0.1882,134.9837
1384.59,1371.5699,0.015,1.3616,0.2223,162.0512
1317.86,1162.04,0.0141,1.3041,0.1696,208.3292
1472.54,1611.61,0.0163,1.0658,0.2216,90.4802
1824.65,1116.12,0.0172,0.0164,0.2203,708.8448
1750.0601,1782.66,0.0154,1.4986,0.1591,139.4207
1895.92,1403.3,0.0146,1.4356,0.2038,538.8835
1373.79,1081.22,0.0185,1.389,0.1427,324.9316
1313.53,1376.96,0.0203,1.3233,0.1444,74.9561
1564.64,1084.0699,0.0167,0.1616,0.1914,483.4917
1488.3,1214.86,0.0142,0.2356,0.1702,277.7077
1929.5699,1213.64,0.0171,1.011,0.1715,736.937
1232.96,1738.03,0.0252,1.4356,0.2234,23.8111
1521.63,1418.1899,0.019,0.2137,0.203,125.441
1914.03,1366.3,0.021,0.8438,0.1545,572.181
1232.1,1848.05,0.0108,0.2603,0.1789,0
1451.28,1616.87,0.0227,0.4795,0.1713,20.7105
1358.29,1059.25,0.0185,0.8548,0.1919,321.9585
1883.73,1302.03,0.0238,0.7233,0.1605,604.065
1440.99,1025.75,0.0128,0.1562,0.1612,417.2888
1470.63,1332.39,0.0216,0.5918,0.15,169.2908
1715.16,1991.45,0.0263,0.0411,0.2048,0
1546.52,1781.86,0.0196,1.1178,0.1822,51.3629
1767.61,1943.35,0.0149,0.5068,0.1992,42.9109
1598.8101,1620.5,0.0209,1.2932,0.1659,130.3517
1245.51,1237.05,0.0182,0.2658,0.1716,50.7992
1286.86,1271.6899,0.0199,0.3644,0.1755,66.5302
1709.45,1655.83,0.0216,1.3781,0.1676,187.2447
1371.16,1899.7,0.0215,1.2521,0.2172,20.259
1974.6801,1934.5601,0.024,1.2301,0.1892,213.6634
1771.4399,1084.0601,0.0277,1.0904,0.1799,719.8446
1534.52,1529.72,0.0152,0.4603,0.1946,88.1744
1222.4399,1286.77,0.0279,0.4192,0.1405,24.0928
1909.4301,1166.79,0.0168,0.3836,0.2066,750.1372
1246.05,1268.86,0.0146,1.2849,0.1909,107.6924
1015.7,1446.1801,0.0195,1.2849,0.2208,13.2192
1408.67,1362.3199,0.0205,1.0247,0.2077,155.9622
1897.36,1539.03,0.0222,1.337,0.2087,437.6087
1082.4399,1253.86,0.0178,0.7425,0.1811,19.5418
1415.15,1754.14,0.0145,0.8247,0.2091,21.6664
1179.08,1686.49,0.0171,1.4767,0.2231,19.8755
1736.27,1507.16,0.0182,0.1425,0.2011,234.2441
1575.24,1235.4301,0.0262,0.3808,0.173,352.4834
1718.64,1973.45,0.0207,1.4822,0.2037,98.0071
1197.9,1064.49,0.025,1.1014,0.1699,185.4415
1533.5,1455.75,0.024,0.4712,0.1442,116.9689
1988.78,1319.09,0.0183,0.4466,0.16,680.4284
1119.96,1247.96,0.0234,0.9205,0.1899,43.6703
1216.3,1562.3199,0.0227,0.7918,0.1574,3.8442
1315.38,1526.22,0.0196,0.6466,0.1875,21.1433
1854.03,1410.1801,0.0182,0.5726,0.1788,459.862
1755.27,1548.6801,0.0174,0.3151,0.1528,218.8218
1994.23,1272.3199,0.0219,1.0082,0.1678,749.8969
1886.51,1194.96,0.0155,0.5507,0.2044,701.774
1515.39,1854.46,0.0132,0.2301,0.1811,0.5143
1687.51,1626.89,0.0209,0.9342,0.1872,169.9871
1472.29,1828.83,0.0194,0.1589,0.1527,0
1939.24,1601.4301,0.0114,1.4301,0.2262,423.4959
1927.63,1828.75,0.02,1.0521,0.2057,234.0715
1140.74,1717.27,0.0202,1.126,0.2072,4.812
1193.65,1673.8,0.0188,0.8603,0.1808,2.4613
1412.9399,1626.3,0.0262,0.0438,0.1765,0
1702.77,1481.55,0.0221,0.5178,0.15,244.2717
1984.51,1991.03,0.014,1.1699,0.1546,144.6741
1975.86,1072.4301,0.0225,0.074,0.1839,905.214
1103.46,1719.58,0.027,1.2137,0.2058,4.2255
1406.89,1823.67,0.0164,1.0356,0.1921,15.9716
1468.29,1759.02,0.0176,0.9973,0.1594,20.1145
1832.78,1878.79,0.0238,0.6055,0.2043,107.2018
1522.45,1478.76,0.0185,0.726,0.2256,148.59
1107.09,1368.8199,0.0102,1.3808,0.2126,36.977
1205.78,1424.87,0.0177,1.2986,0.1985,46.3845
1146.4301,1051.4301,0.0181,0.4986,0.1915,125.206
1006.77,1976.88,0.0228,0.137,0.1929,0
1168.27,1524.3101,0.0179,0.5178,0.2166,4.2561
1409.33,1188.09,0.0264,0.4959,0.1552,239.2846
1088.87,1919.03,0.0157,0.7808,0.1991,0.0557
1077.84,1840.72,0.0181,0.926,0.1448,0
1300.11,1731.6,0.0283,0.2932,0.2055,0.2686
1374.28,1497.23,0.0255,1.1068,0.1786,70.1518
1294.0699,1196.01,0.0228,0.1041,0.1817,103.1775
1051.03,1078.89,0.0186,0.5315,0.1824,47.8496
1853.86,1356.96,0.0208,1.0082,0.1488,526.1132
1213.36,1253,0.0213,1.4466,0.1432,82.3896
1779.79,1748.14,0.014,0.2548,0.1917,88.1796
1895.03,1659.95,0.0136,0.7781,0.2057,291.7283
1369.26,1332.1,0.0229,0.3699,0.2061,93.7474
1841.0601,1761.36,0.0186,1.2521,0.2078,231.7966
1119.46,1108.2,0.0139,0.0274,0.1762,18.5182
1341.21,1840.5601,0.0271,0.1507,0.1973,0
1371.38,1544.76,0.0167,0.2986,0.1487,4.0797
1208.01,1436.67,0.0152,0.1479,0.1752,0.1212
1864.03,1741.6,0.0188,1.4877,0.224,290.116
1243.05,1243.5699,0.0269,1.4685,0.2076,147.1777
1417.54,1979.39,0.0161,0.6329,0.1821,1.0605
1785.34,1254.84,0.0165,1.0055,0.2018,555.162
1213.9,1061.95,0.0191,0.1096,0.2124,154.8775
1185.4301,1686.1899,0.0243,0.4247,0.1886,0.1277
1394.16,1607.73,0.0132,0.6959,0.167,18.7046
1299.0601,1956.39,0.0194,0.1562,0.2063,0
1940.73,1196.77,0.0207,0.7726,0.1539,762.9529
1344.08,1758.08,0.0231,1.4959,0.1784,23.7015
1063.62,1029.4399,0.0156,1.2438,0.142,95.8848
1714.4301,1999.64,0.017,0.5096,0.1798,15.1222
1559.34,1503.05,0.017,1.1534,0.1934,172.7455
1594.91,1149.48,0.0192,1.2247,0.1855,477.0224
1861.17,1862.75,0.0231,0.7863,0.1949,143.6214
1470.38,1263.8101,0.0229,1.011,0.1946,262.2836
1749.61,1832.9,0.021,0.9863,0.2047,121.7948
1873.4,1729.36,0.0201,0.4027,0.1736,181.3931
1941.77,1885.08,0.0147,1.274,0.185,207.6493
1963.8,1502.13,0.0157,0.0192,0.1639,462.1228
1028.33,1549.17,0.0168,1.1808,0.1378,0.2692
1784,1373.5,0.024,0.0904,0.1954,413.4767
1476.99,1923.61,0.0152,0.6767,0.1645,2.6513
1283.99,1544.97,0.0231,0.4986,0.2012,10.5307
1671.0601,1291.09,0.0217,0.3452,0.2154,390.7653
1459.45,1542.67,0.0193,1.0466,0.1773,83.1847
1201.89,1496.01,0.0224,0.9288,0.2008,20.3855
1197,1253.01,0.0166,0.6575,0.1795,51.4256
1884.05,1489.87,0.0181,0.663,0.1799,416.5572
1670.1899,1610.6899,0.024,0.4986,0.2036,137.6854
1211.85,1200.95,0.0238,1.2466,0.1482,103.4738
1380.02,1220.28,0.0155,1.3945,0.1906,231.0886
1226.0699,1634.34,0.0153,0.6521,0.1905,3.0481
1183.75,1942.63,0.025,1.3315,0.2013,2.9996
1009.51,1858.8199,0.0133,0.8247,0.1698,0
1905.74,1227.38,0.0216,0.6685,0.1549,695.9632
1280.3101,1286.58,0.0214,0.2904,0.1697,46.8802
1374.09,1722.87,0.0175,0.6027,0.1739,4.7921
1801.59,1402.28,0.0187,0.4055,0.2093,411.9775
1976.74,1444.53,0.0235,0.2192,0.1802,539.6339
1576.26,1847.51,0.0251,0.5397,0.1503,8.0497
1080.98,1533.25,0.0246,0.9699,0.1859,3.4952
1045.79,1516.96,0.0177,1.2219,0.163,2.2006
1909.85,1384.73,0.0209,0.663,0.1717,544.7846
1761.55,1072.58,0.0176,0.211,0.1725,692.9458
1719.42,1681.22,0.0162,1.4822,0.1977,202.902
1247.66,1032.01,0.0155,1.326,0.2016,262.4218
1370.54,1606.87,0.019,1.4795,0.1907,60.3117
1023.88,1337.34,0.0147,0.7342,0.1805,3.638
1638.9301,1277.91,0.0189,0.7315,0.1994,385.0885
1007.49,1060.77,0.0213,1.2767,0.192,76.2057
1857.27,1168.88,0.0228,1.3616,0.2145,727.3917
1762.83,1653.0699,0.0184,0.7863,0.2196,208.8536
1733.03,1066.3101,0.0147,0.4027,0.1451,673.0136
1317.16,1891.39,0.0153,1.2137,0.2194,13.1824
1435.92,1830.84,0.0217,0.4329,0.1957,2.7771
1511.8,1432.4399,0.0187,0.2959,0.1828,111.5425
1298.53,1999.36,0.0214,0.1863,0.188,0
1107.03,1627.45,0.0256,1.2986,0.1591,2.351
1724.08,1008.08,0.0137,1.3589,0.1712,734.8026
1109.8199,1005.09,0.0259,0.3342,0.2078,125.8147
1144.92,1568.08,0.0108,0.5589,0.1639,0.3079
1042.8101,1578.58,0.0249,1.0411,0.198,2.6468
1125.52,1474.35,0.0196,0.3205,0.1721,0.1145
1123.51,1883.29,0.0221,0.3644,0.174,0
1953.8,1879.73,0.0191,1.4575,0.1763,230.6944
1572.4301,1401.09,0.0177,0.4904,0.157,193.8698
1314.48,1814.92,0.018,0.8658,0.1826,3.6404
1518.84,1777.5601,0.0131,0.3863,0.1494,3.1533
1888.1801,1485.86,0.0155,1.3178,0.1802,449.376
1222.9399,1988.59,0.0267,0.3068,0.1628,0
1970.1,1629.6899,0.0188,1.1342,0.1499,387.0577
1583.13,1362.27,0.0206,0.4247,0.1871,240.6322
1451.92,1960.52,0.0219,0.9808,0.167,5.21
1147.34,1112.63,0.0203,0.7068,0.2194,110.1311
1760.79,1486.36,0.0184,0.9616,0.1929,326.2174
1096.83,1791.29,0.0235,0.4356,0.1725,0
1599.05,1228.33,0.0226,0.4877,0.1983,385.8573
1921.51,1813.3199,0.0188,0.7808,0.1803,196.9921
1578.5601,1623.51,0.0234,0.3507,0.1622,45.776
1755.42,1963.61,0.0205,0.5425,0.1702,27.3365
1093.1899,1642.62,0.023,0.7397,0.1908,0.6289
1591.04,1539.9301,0.0217,1.1973,0.1704,165.6976
1023.45,1403.76,0.0156,1.337,0.1491,3.6151
1841.33,1538.95,0.0212,0.1863,0.1708,308.663
1116.88,1813.5601,0.0195,1.0438,0.2003,1.1493
1968.12,1041.54,0.0247,1.263,0.2074,958.7696
1137.9,1516.85,0.0259,1.1945,0.1452,4.5683
1145.74,1703.42,0.0187,0.6219,0.1875,0.2932
1131.01,1186.27,0.0186,0.0247,0.2065,0
1178.4301,1007.67,0.016,0.8685,0.1746,198.0258
1391.0601,1932.84,0.0186,1.0548,0.1516,2.2195
1140.53,1685.1,0.021,0.3014,0.1534,0
1984.15,1368.98,0.0164,1.4027,0.1969,653.3697
1457.99,1458.89,0.0138,1.3178,0.1417,106.894
1913.25,1605.13,0.0265,1.3781,0.1883,399.6551
1400.09,1019.69,0.0229,1.1452,0.1684,409.1044
1271.9399,1211.11,0.018,0.6795,0.2013,124.8172
1200.04,1887.45,0.0228,0.5151,0.1875,0.0263
1980.29,1923.6899,0.0244,0.7973,0.2038,191.878
1273.24,1566.15,0.0181,0.1589,0.1454,0
